Sector,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Education,41143,346,0,40797,7283096,24666052,66,23,138,41143,7283096,24666052,115,0,1,43,7,3598,15,37502,0,0,0,0
Infrastructure,9784912,249581,0,9535331,339668529,435082056,113,57,171,234671,5931884,8872109,223932,3,5520,293457,10197,2539557,760,1623293,197,3801623,4,1526977
Other,1133435,807299,0,326136,78205979,107358286,2708,1380,4048,1133435,78205979,107358286,2712,24,570,15674,567,207981,183,494278,15,247292,1,168187
Productive,2996164,998860,0,1997304,284759315,320830959,2222,1215,2746,2473979,264593779,295271652,44470,29,691,16785,1694,705983,306,949901,41,1101053,1,222412
Public,1449522,383201,0,1066321,229000908,274396160,1418,682,1832,1449522,229000908,274396160,1177,12,230,6365,207,83617,184,582524,34,777005,0,0
Residential,10557318,5463116,0,5094202,1171833661,1436867606,22028,11269,28776,10557318,1171833661,1436867606,18565,449,4114,94148,3618,1611419,2328,5962599,151,2888703,0,0
Unknown,18687863,18120079,0,567784,378290660,497977088,10865,6463,15479,18687863,378290660,497977088,9018,1,592,29173,3089,1358959,2419,7503718,354,8336279,7,1459733
