Sector,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Education,7059,7059,0,0,5216986,35622768,5,2,119,7059,5216986,35622768,117,0,0,0,1,325,1,6734,0,0,0,0
Infrastructure,297889,26943,0,270946,370859534,805281324,70,23,251,32142,17961106,38151675,283142,1,304,11868,79,22788,47,162855,5,100377,0,0
Other,100759,100441,0,318,18404795,139331232,585,203,5178,100759,18404795,139331232,4980,3,123,3185,47,19618,28,77952,0,0,0,0
Productive,473595,430090,0,43505,110522030,527888737,944,402,4701,472966,95649098,498422810,9220,19,236,6082,71,22633,40,146209,11,298651,0,0
Public,61264,61255,0,9,31959694,288436313,283,96,1660,61264,31959694,288436313,1571,1,55,1464,24,10262,8,25559,2,23978,0,0
Residential,2789812,2724227,0,65585,628426408,2607657773,12389,5523,45964,2789812,628426408,2607657773,40704,114,3518,91997,1270,409848,426,1223387,46,1064465,0,0
Unknown,5626259,5605839,0,20420,298130215,1086316840,9738,2603,30542,5626259,298130215,1086316840,27940,1,293,14391,1351,565722,840,2406371,117,2507194,1,132581
