Sector,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Education,257931,257931,0,0,17694449,17899884,54,50,56,257931,17694449,17899884,62,0,15,535,12,5449,15,49779,8,202169,0,0
Infrastructure,1669719,183023,0,1486696,161254257,194863192,18,16,41,52355,1512558,2479276,128988,0,72,3856,47,16886,43,163549,60,1485428,0,0
Other,4289244,4288383,0,861,73280434,79406930,1294,1272,1603,4289244,73280434,79406930,1934,0,332,12295,407,161886,421,1527282,111,2482556,1,105225
Productive,4609919,4569891,0,40028,179944699,189349669,1364,1310,1545,4597081,173139365,180139428,17537,8,564,16320,306,126407,352,1165647,105,2656475,4,645061
Public,1023188,1015304,0,7884,86127647,94887032,388,368,527,1023188,86127647,94887032,689,2,166,5696,104,38228,79,286584,14,261409,2,431269
Residential,23044531,23029226,0,15305,776160426,893338962,7933,7503,10672,23044531,776160426,893338962,13897,31,2925,93317,1916,757596,2002,7043443,600,14520072,4,630071
Unknown,10892372,10854397,0,37975,78016368,142761467,2065,1881,4102,10892372,78016368,142761467,6323,0,93,4595,685,341131,841,2963922,256,6714846,6,867878
