Sector,Region,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Education,Aitutaki,0,0,0,0,198799,404234,4,0,6,0,198799,404234,12,0,0,0,0,0,0,0,0,0,0,0
Education,Rarotonga,257931,257931,0,0,17495649,17495649,50,50,50,257931,17495649,17495649,50,0,15,535,12,5449,15,49779,8,202169,0,0
Infrastructure,Aitutaki,1352121,2351,0,1349770,27826153,41216607,6,4,15,1199,105746,289953,21219,0,21,1126,17,4653,15,57260,52,1289083,0,0
Infrastructure,Atiu,16934,0,0,16934,1341764,4461149,0,0,7,0,0,171185,10546,0,3,190,4,2488,3,14256,0,0,0,0
Infrastructure,Mangaia,2869,393,0,2476,6932059,6932059,1,1,1,393,68837,68837,17775,0,9,681,1,393,1,1795,0,0,0,0
Infrastructure,Manihiki,0,0,0,0,0,2765593,0,0,0,0,0,0,3080,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Mauke,0,0,0,0,0,4119166,0,0,4,0,0,199359,8268,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Mitiaro,0,0,0,0,0,2994454,0,0,1,0,0,7961,7842,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Nassau,252,0,0,252,1169,485436,0,0,0,0,0,0,2515,0,3,252,0,0,0,0,0,0,0,0
Infrastructure,Palmerston,0,0,0,0,0,11181,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Penrhyn,0,0,0,0,0,3377005,0,0,0,0,0,0,1826,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Pukapuka,139,0,0,139,1075,2850100,0,0,2,0,0,404007,4225,0,0,0,1,139,0,0,0,0,0,0
Infrastructure,Rakahanga,147,0,0,147,1252,499656,0,0,0,0,0,0,1102,0,4,147,0,0,0,0,0,0,0,0
Infrastructure,Rarotonga,297257,180279,0,116978,125150786,125150786,11,11,11,50762,1337975,1337975,50530,0,32,1460,24,9213,24,90238,8,196345,0,0
Other,Aitutaki,77332,77332,0,0,1529056,3916123,82,60,201,77332,1529056,3916123,342,0,28,619,18,6248,13,55811,1,14655,0,0
Other,Atiu,0,0,0,0,0,845389,0,0,38,0,0,845389,76,0,0,0,0,0,0,0,0,0,0,0
Other,Mangaia,46160,46160,0,0,1183725,1183725,26,26,26,46160,1183725,1183725,26,0,8,345,13,5156,4,16339,1,24319,0,0
Other,Manihiki,0,0,0,0,0,345106,0,0,7,0,0,345106,14,0,0,0,0,0,0,0,0,0,0,0
Other,Mauke,0,0,0,0,0,775836,0,0,44,0,0,775836,88,0,0,0,0,0,0,0,0,0,0,0
Other,Mitiaro,0,0,0,0,0,738931,0,0,35,0,0,738931,70,0,0,0,0,0,0,0,0,0,0,0
Other,Penrhyn,0,0,0,0,0,67976,0,0,3,0,0,67976,6,0,0,0,0,0,0,0,0,0,0,0
Other,Pukapuka,0,0,0,0,0,966192,0,0,63,0,0,966192,126,0,0,0,0,0,0,0,0,0,0,0
Other,Rarotonga,4165751,4164890,0,861,70567653,70567653,1186,1186,1186,4165751,70567653,70567653,1186,0,296,11330,376,150482,404,1455133,109,2443582,1,105225
Productive,Aitutaki,23680,21756,0,1924,9431729,13784732,205,152,308,21756,8924004,13056758,2349,8,124,3119,19,8156,4,12397,0,0,0,0
Productive,Atiu,2288,0,0,2288,397991,2692407,1,0,28,0,347083,1672215,1906,0,0,0,4,2288,0,0,0,0,0,0
Productive,Mangaia,140052,136664,0,3388,6895768,6895768,24,24,24,136664,2676173,2676173,5225,0,11,364,9,3886,6,11132,0,0,1,124670
Productive,Manihiki,2238,0,0,2238,4576,238213,0,0,4,0,0,32865,718,0,3,115,5,2123,0,0,0,0,0,0
Productive,Mauke,0,0,0,0,0,981575,0,0,17,0,0,600738,1174,0,0,0,0,0,0,0,0,0,0,0
Productive,Mitiaro,0,0,0,0,0,452285,0,0,8,0,0,235508,596,0,0,0,0,0,0,0,0,0,0,0
Productive,Motu Tou,1221,0,0,1221,2860,14872,0,0,0,0,0,0,47,0,2,17,3,1204,0,0,0,0,0,0
Productive,Palmerston,572,0,0,572,572,82940,0,0,0,0,0,0,289,0,0,0,1,572,0,0,0,0,0,0
Productive,Penrhyn,0,0,0,0,0,114187,0,0,2,0,0,114187,4,0,0,0,0,0,0,0,0,0,0,0
Productive,Pukapuka,0,0,0,0,0,723043,0,0,20,0,0,558879,614,0,0,0,0,0,0,0,0,0,0,0
Productive,Rakahanga,635,0,0,635,2860,161304,0,0,0,0,0,0,559,0,3,32,2,603,0,0,0,0,0,0
Productive,Rarotonga,4439232,4411470,0,27762,163208343,163208343,1134,1134,1134,4438660,161192105,161192105,4056,0,421,12672,263,107576,342,1142117,105,2656475,3,520391
Public,Aitutaki,2159,2159,0,0,4769694,11972298,45,25,139,2159,4769694,11972298,254,0,18,527,6,1632,0,0,0,0,0,0
Public,Atiu,0,0,0,0,0,818269,0,0,18,0,0,818269,36,0,0,0,0,0,0,0,0,0,0,0
Public,Mangaia,22545,22545,0,0,962346,962346,18,18,18,22545,962346,962346,18,0,9,533,5,1803,4,20209,0,0,0,0
Public,Manihiki,0,0,0,0,0,31479,0,0,1,0,0,31479,2,0,0,0,0,0,0,0,0,0,0,0
Public,Mauke,0,0,0,0,0,300278,0,0,8,0,0,300278,16,0,0,0,0,0,0,0,0,0,0,0
Public,Mitiaro,0,0,0,0,0,2822,0,0,1,0,0,2822,2,0,0,0,0,0,0,0,0,0,0,0
Public,Nassau,0,0,0,0,0,17045,0,0,1,0,0,17045,2,0,0,0,0,0,0,0,0,0,0,0
Public,Pukapuka,0,0,0,0,0,386888,0,0,16,0,0,386888,32,0,0,0,0,0,0,0,0,0,0,0
Public,Rarotonga,998483,990599,0,7884,80395608,80395608,325,325,325,998483,80395608,80395608,327,2,139,4636,93,34793,75,266374,14,261409,2,431269
Residential,Aitutaki,245755,245755,0,0,36474256,92067724,858,432,2100,245755,36474256,92067724,3806,18,267,5774,84,28859,38,128359,5,82745,0,0
Residential,Atiu,0,0,0,0,199456,30701545,4,0,598,0,199456,30701545,1196,0,0,0,0,0,0,0,0,0,0,0
Residential,Mangaia,559263,559263,0,0,24908407,24908407,351,351,351,559263,24908407,24908407,353,1,141,5396,123,47228,69,195669,16,310969,0,0
Residential,Manihiki,0,0,0,0,0,1543359,0,0,61,0,0,1543359,122,0,0,0,0,0,0,0,0,0,0,0
Residential,Mauke,0,0,0,0,0,12888527,0,0,290,0,0,12888527,580,0,0,0,0,0,0,0,0,0,0,0
Residential,Mitiaro,0,0,0,0,0,6546294,0,0,212,0,0,6546294,424,0,0,0,0,0,0,0,0,0,0,0
Residential,Nassau,0,0,0,0,0,604340,0,0,32,0,0,604340,64,0,0,0,0,0,0,0,0,0,0,0
Residential,Palmerston,0,0,0,0,0,330609,0,0,5,0,0,330609,10,0,0,0,0,0,0,0,0,0,0,0
Residential,Penrhyn,0,0,0,0,0,720532,0,0,22,0,0,720532,44,0,0,0,0,0,0,0,0,0,0,0
Residential,Pukapuka,0,0,0,0,0,8449318,0,0,281,0,0,8449318,562,0,0,0,0,0,0,0,0,0,0,0
Residential,Rarotonga,22239514,22224209,0,15305,714578306,714578306,6720,6720,6720,22239514,714578306,714578306,6736,12,2517,82147,1709,681510,1895,6719416,579,14126357,4,630071
Unknown,Aitutaki,371328,360251,0,11077,5972082,11377724,369,203,795,371328,5972082,11377724,1387,0,12,587,98,50264,86,216776,7,103701,0,0
Unknown,Atiu,0,0,0,0,354720,2534212,12,0,89,0,354720,2534212,178,0,0,0,0,0,0,0,0,0,0,0
Unknown,Mangaia,3099440,3099440,0,0,17125662,17125662,332,332,332,3099440,17125662,17125662,332,0,6,292,61,25960,184,706191,81,2366998,0,0
Unknown,Manihiki,164,0,0,164,252292,19851393,7,2,550,164,252292,19851393,1098,0,1,3,1,161,0,0,0,0,0,0
Unknown,Mauke,0,0,0,0,0,3407993,0,0,100,0,0,3407993,200,0,0,0,0,0,0,0,0,0,0,0
Unknown,Mitiaro,0,0,0,0,0,3457189,0,0,136,0,0,3457189,272,0,0,0,0,0,0,0,0,0,0,0
Unknown,Motu Tou,0,0,0,0,0,107517,0,0,3,0,0,107517,6,0,0,0,0,0,0,0,0,0,0,0
Unknown,Nassau,0,0,0,0,0,1780005,0,0,117,0,0,1780005,234,0,0,0,0,0,0,0,0,0,0,0
Unknown,Palmerston,0,0,0,0,0,3428761,0,0,30,0,0,3428761,60,0,0,0,0,0,0,0,0,0,0,0
Unknown,Penrhyn,0,0,0,0,0,17178723,0,0,342,0,0,17178723,684,0,0,0,0,0,0,0,0,0,0,0
Unknown,Pukapuka,0,0,0,0,0,1014464,0,0,103,0,0,1014464,206,0,0,0,0,0,0,0,0,0,0,0
Unknown,Rakahanga,0,0,0,0,483051,7669263,1,0,161,0,483051,7669263,322,0,0,0,0,0,0,0,0,0,0,0
Unknown,Rarotonga,7421440,7394706,0,26734,53828562,53828562,1344,1344,1344,7421440,53828562,53828562,1344,0,74,3712,525,264747,571,2040956,168,4244147,6,867878
